train,test,model,arm,n_subjects_eval,n_windows_eval,train_events,n_predictors,epv,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi
depresjon,psykose,majority,internal,39,700,16,28,0.5714285714285714,700.0,0.0,0.512857142857143,1.1702778228589004e-16,0.512857142857143,1.1702778228589004e-16,0.5,0.0,0.33899905571293676,0.0,0.0,0.0,0.4748168176508548,0.0021026915882150854,0.49828394345921384,0.0009104320560362245,0.25011599729958034,4.678481305604428e-05,-4.164968453604641,0.0032921703861042055,-0.0005574885652886037,4.442547350178675e-06,0.0001392621047483722,1.112615453759291e-06,39.0,0.0,0.5897435897435896,1.1702778228589004e-16,0.5897435897435896,1.1702778228589004e-16,0.5,0.0,0.3709677419354839,0.0,0.0,0.0,0.42309782608695645,0.026925190222448173,0.5472617056856187,0.01076713826135,0.24859970803927425,0.000288805155244126,-12.9112393101988,4.0989645146682925,0.3104833076848602,0.00010600390077943107,0.0766318720442135,2.7972481586200964e-05,39.0,0.0,0.2235029987246275,0.6623774381782433,0.19376088366272667,0.4846962562124724,0.35664741180627624,0.683439408077178,0.45933426364675284,0.6983172390047896,0.2629928179953908,0.40597854019074175,0.31475532369592074,0.4111789327881704,0.2453972164696035,0.253988162358559,0.24547520598112357,0.25179394344199924,-79.23550207465264,64.2476794167391,-94.54636499848112,10.70252523323863
depresjon,psykose,majority,external,38,680,16,28,0.5714285714285714,680.0,0.0,0.5088235294117647,0.0,0.5088235294117647,0.0,0.5,0.0,0.3372319688109161,5.851389114294502e-17,0.0,0.0,0.5,0.0,0.5088235294117647,0.0,0.2499384153661465,2.925694557147251e-17,0.0018109119183623036,0.0,-0.016142129123738337,3.657118196434064e-18,0.004033613445378337,0.0,38.0,0.0,0.5789473684210528,1.1702778228589004e-16,0.5789473684210528,1.1702778228589004e-16,0.5,0.0,0.36666666666666664,0.0,0.0,0.0,0.5,0.0,0.5789473684210528,1.1702778228589004e-16,0.248135230934479,0.0,0.016335845209456756,3.657118196434064e-18,0.26701381991377204,0.0,0.06609022556390964,0.0,38.0,0.0,0.5,0.5,0.5,0.5,0.3432226576134252,0.6683421736128283,0.45454545454545453,0.6956521739130435,0.2555374685025624,0.40061443981739775,0.3125,0.41025641025641024,0.2458365073724048,0.25419672349810374,0.24513425022182775,0.25133413729128007,-0.03329569619551311,0.035948359336669046,-0.00935297567922723,0.04241217444448946
depresjon,psykose,logreg,internal,39,700,16,28,0.5714285714285714,700.0,0.0,0.512857142857143,1.1702778228589004e-16,0.7145714285714286,0.014234830012596855,0.7139929259346995,0.013857970489976926,0.7139725894498685,0.013994754246900025,0.42894282183479315,0.028186317143174044,0.7902490626455043,0.026091852527201448,0.768308784766707,0.020077221155843292,0.189520139403142,0.014952980820036255,0.6635812032060673,0.11753079815933096,0.11065473879598627,0.08171249201813588,0.07484945863011026,0.018011510346963223,39.0,0.0,0.5897435897435896,1.1702778228589004e-16,0.8512820512820513,0.0415212232529611,0.8491847826086957,0.040745770150153925,0.8472337742639219,0.041916893989658456,0.6958386692444936,0.08327514050632284,0.9230978260869565,0.0341342519942982,0.9524168626257931,0.014686477398299844,0.13428010426741466,0.01582207770399727,2.685477540926848,0.8834547010927676,0.2762220444812818,0.06401415588224474,0.17912857096840887,0.020475164489749172,39.0,0.0,0.7009231337788054,0.8714255683216668,0.8632487818811453,0.9845352760491778,0.6621620544532815,0.810720226981826,0.76,0.9230769230769231,0.6622017851300765,0.8141596407587905,0.75,0.9505376344086022,0.14488929182358162,0.23277179316305954,0.10325271180902695,0.1571601010664265,0.444241256766914,1.0512681727331799,1.9944997953825254,5.278356704186642
depresjon,psykose,logreg,external,38,680,16,28,0.5714285714285714,680.0,0.0,0.5088235294117647,0.0,0.7411764705882353,0.0,0.7407843272991589,0.0,0.7408536585365855,1.1702778228589004e-16,0.48216984329048496,5.851389114294502e-17,0.7790488387387076,1.1702778228589004e-16,0.7051569827301065,0.0,0.19273187119638166,0.0,0.49649162383273715,5.851389114294502e-17,0.06196940713712089,7.314236392868128e-18,0.0794519149548001,0.0,38.0,0.0,0.5789473684210528,1.1702778228589004e-16,0.8947368421052632,0.0,0.8920454545454547,1.1702778228589004e-16,0.8920454545454547,1.1702778228589004e-16,0.7840909090909091,0.0,0.8806818181818181,0.0,0.8576098868686117,0.0,0.15373534855761783,0.0,2.499689492503303,4.681111291435602e-16,0.2275322656778279,2.925694557147251e-17,0.26114947966176605,5.851389114294502e-17,38.0,0.0,0.6764531868822571,0.8472630560613685,0.7750748777913393,0.9918248959501995,0.6725482703210598,0.8002883108074726,0.8260869565217391,0.9606000879706283,0.6748177315793333,0.8016648269808409,0.8181818181818181,0.96,0.15910299988370002,0.2368485922969216,0.12321852763956385,0.18461327593886562,0.19719363640490029,0.8323524624353236,1.5012607834270781,9.378488617223272
depresjon,psykose,rf,internal,39,700,16,28,0.5714285714285714,700.0,0.0,0.512857142857143,1.1702778228589004e-16,0.6704285714285715,0.016413726902778748,0.6700230356398926,0.01606391669046458,0.6698922987345086,0.016260784530850975,0.34060325365034005,0.03231392052530666,0.7303286254584664,0.01211031846580865,0.697983176149403,0.01920117114184261,0.2168732259814828,0.00712869003045254,0.576095461508505,0.04542925195746012,0.11155611384807118,0.05242692178501051,0.1009036146131294,0.01098128462814661,39.0,0.0,0.5897435897435896,1.1702778228589004e-16,0.6948717948717948,0.030697923070201662,0.6889945652173913,0.02938226251685045,0.687143116194693,0.03010446795067492,0.3758463304209877,0.059615281647343484,0.8298913043478262,0.020742555849952687,0.8794115827734137,0.015155408659611827,0.17089110587551212,0.008967544362347209,1.760078489902821,0.29509520882442675,0.30603269815424167,0.03996497030736219,0.18327540124501135,0.031131748135547203,39.0,0.0,0.6069268902090897,0.8365192720769082,0.7222222222222222,0.9306340216563478,0.5658034356906783,0.750730947118002,0.5714285714285714,0.7916666666666666,0.5702092578318922,0.7567902401689498,0.5713282098085104,0.7963658961441763,0.1624920151747849,0.2621548396414174,0.13616904129910326,0.19962942939902462,0.2788674464165337,1.0236275163699189,1.194883579816653,2.952529790929646
depresjon,psykose,rf,external,38,680,16,28,0.5714285714285714,680.0,0.0,0.5088235294117647,0.0,0.7147058823529412,0.002401460532140362,0.7134903603198227,0.0024386367535778725,0.7127932144326425,0.0025191450014196305,0.43150815702748524,0.004685629095260258,0.7754092970129106,0.0020601240722434343,0.7708073402911673,0.004931236917823879,0.19279746201439765,0.0008708673424278996,0.8007103522608274,0.008689151370413326,-0.021569136090821815,0.006891777886027735,0.04702857339813145,0.007038580242927994,38.0,0.0,0.5789473684210528,1.1702778228589004e-16,0.8578947368421053,0.013589415249850629,0.8431818181818181,0.011736313170325497,0.8502740119302052,0.01333287705262381,0.709776843631434,0.030274500686908623,0.8931818181818182,0.0055541205676572685,0.8920457928598537,0.004321181414499037,0.15964095782547938,0.0010054824540923438,2.922765573727192,0.07663488566854305,0.16974480003806822,0.006211183945468676,0.2072531238302407,0.01350388748981128,38.0,0.0,0.6875449007158503,0.8464250905331554,0.8013516930952954,0.9798670721382392,0.6418931000118027,0.7781050201495997,0.782608695652174,0.9260315033078069,0.6373002092978294,0.7789543957393279,0.7732363234258899,0.9505882352941176,0.16075039340103398,0.2282427091969375,0.13368811468334502,0.18524283243206255,0.4896980570209522,1.140860063095965,1.9001815805261366,19.942308393928645
depresjon,psykose,xgboost,internal,39,700,16,28,0.5714285714285714,700.0,0.0,0.512857142857143,1.1702778228589004e-16,0.6524285714285714,0.013007062445817187,0.6526801395208259,0.012668133826340763,0.6522897150196616,0.012976136984916075,0.30548702392728,0.02521149548681961,0.7162597309241213,0.022163618261181902,0.6975340235874754,0.02331283083914933,0.24661807968652427,0.013471727537661864,0.3385237201834558,0.052179330296571076,0.22298048891460248,0.09455532523272878,0.18087773329420345,0.014900576570342654,39.0,0.0,0.5897435897435896,1.1702778228589004e-16,0.7051282051282051,0.021790681682020464,0.7043478260869566,0.02313952615455694,0.6996322691530269,0.022350979233009192,0.40424755726304146,0.044831048285583645,0.8282608695652174,0.026152293380606633,0.8885254068558079,0.013189386386719204,0.1718292942223697,0.014956276992838032,1.220337461602824,0.3480051484665916,0.34804887747222363,0.06331989953254497,0.2058687913398712,0.027841263829415774,39.0,0.0,0.6083905932889494,0.8252212895178526,0.7183834131538314,0.9214285714285714,0.5483390910679216,0.7457884617502374,0.6,0.8148148148148148,0.5532831171134059,0.7477410170466003,0.6063491038385985,0.8321678321678322,0.17769534657106423,0.3009004674398902,0.130324738637211,0.20543572698772197,0.17229226587421076,0.6232623091041635,0.8951423896817091,2.1439651478640003
depresjon,psykose,xgboost,external,38,680,16,28,0.5714285714285714,680.0,0.0,0.5088235294117647,0.0,0.7110294117647059,0.006941079538483453,0.7107135440102454,0.006867707934774634,0.7107519205791794,0.006869787346214644,0.42179348573054465,0.013919877841492243,0.7675547748433769,0.003891343074413679,0.7316898957539262,0.0075771290248366294,0.20368470473250078,0.0022627024058529416,0.5463965123638456,0.01178033733038141,-0.014101724714767427,0.016220802746927405,0.09021466274293796,0.006540694777170355,38.0,0.0,0.5789473684210528,1.1702778228589004e-16,0.8157894736842106,0.02481076425215956,0.8119318181818184,0.024098471749874992,0.8112251178473695,0.024675178540276073,0.62455955098759,0.04923857938318838,0.8857954545454545,0.006669248811234465,0.8780116885744093,0.017619889224112683,0.14969203180390347,0.002099005461624628,2.1196123651090746,0.06839051011182641,0.19216911094163355,0.013675623988466157,0.18557097272653328,0.005822372382034695,38.0,0.0,0.6778283089588045,0.8353182699508592,0.7959183673469388,0.9777777777777779,0.644332818921892,0.7811229490396256,0.6923076923076923,0.88,0.6427598647495759,0.7885253702080067,0.6930114329502345,0.8830732800518346,0.164474197143859,0.24856171532655066,0.11751876969814479,0.18219416178206557,0.3403682219351302,0.7773524401932086,1.3901675864052132,7.419119567834158
psykose,depresjon,majority,internal,38,687,16,28,0.5714285714285714,687.0,0.0,0.5036390101892285,0.0,0.46870451237263466,0.0,0.46805129422134834,5.851389114294502e-17,0.46405327941556784,0.0,-0.06494510729842776,0.0,0.4632286881494414,0.0,0.4843488624261364,5.851389114294502e-17,0.2506955326907877,5.851389114294502e-17,-4.073255782505836,9.362222582871203e-16,0.0004201969467460473,2.5554890278056234e-20,0.03989292501443499,0.0,38.0,0.0,0.5789473684210528,1.1702778228589004e-16,0.46842105263157896,0.011095711088310091,0.4539772727272727,0.013176156917368247,0.4537732160312805,0.013606346204797459,-0.09233221543428789,0.02695685886978162,0.43863636363636366,0.012577240693851492,0.5489160018583817,0.009482396944755878,0.25035653913259415,0.00025171363429966345,-5.357062374421256,2.260221102724611,0.30493317274480464,0.0010105594853739024,0.07554316874453329,0.00025193726447338144,38.0,0.0,0.20566626084237097,0.6009866850542749,0.2167331718159079,0.5229196186932478,0.30187744092897256,0.6272195238980607,0.3593141415076311,0.6,0.2748440732575037,0.6091223872703571,0.3125,0.5558634543818414,0.24857968458211951,0.2526432449776439,0.24882841863779262,0.2517889761594205,-56.39792841070702,24.306530506929718,-59.679457876203685,13.123299317431075
psykose,depresjon,majority,external,39,693,16,28,0.5714285714285714,693.0,0.0,0.5180375180375181,0.0,0.5180375180375181,0.0,0.5,0.0,0.34125475285171103,0.0,0.0,0.0,0.5,0.0,0.5180375180375181,0.0,0.24988196497130347,0.0,0.0010504476521142237,2.28569887277129e-19,0.05762509773737075,7.314236392868128e-18,0.014398507848289444,0.0,39.0,0.0,0.5897435897435896,1.1702778228589004e-16,0.5897435897435896,1.1702778228589004e-16,0.5,0.0,0.3709677419354839,0.0,0.0,0.0,0.5,0.0,0.5897435897435896,1.1702778228589004e-16,0.24936008672016766,2.925694557147251e-17,0.005280823135790933,9.14279549108516e-19,0.3483491959151611,5.851389114294502e-17,0.08610457955436124,0.0,39.0,0.0,0.5,0.5,0.5,0.5,0.36199532643896787,0.6862716983904781,0.45933426364675284,0.6983172390047896,0.26589424995570166,0.4069916018265422,0.31475532369592074,0.4111789327881704,0.2486575531783416,0.25101764322165687,0.24856988548828102,0.25030920845304117,-0.008250009535184814,0.011391003519973082,-0.002372336659951991,0.012215446407903837
psykose,depresjon,logreg,internal,38,687,16,28,0.5714285714285714,687.0,0.0,0.5036390101892285,0.0,0.8075691411935952,0.008537338165132564,0.8073618903937755,0.008500307383917159,0.807334977979283,0.00847730207082727,0.6159427030556761,0.017441977824187008,0.8810918244537488,0.009485482766594364,0.8749100503174118,0.012841316585264119,0.14093901840902148,0.005559135964848604,0.7185436694271163,0.048793345811752216,-0.09816382318400442,0.044611427404419035,0.06619447708987786,0.00725428302057231,38.0,0.0,0.5789473684210528,1.1702778228589004e-16,0.8921052631578948,0.008321783316232567,0.88125,0.007186994682200855,0.8872494935328035,0.008239564045194842,0.7794739108380664,0.017778773054811518,0.9636363636363636,0.009161656532157439,0.9762930964401025,0.006819805999301869,0.09065921319163442,0.005412592863694802,2.2289049256141156,0.22558027677450174,0.21684732015587876,0.038664773370232684,0.14184319606943657,0.017290572883330316,38.0,0.0,0.7901491646379964,0.9379321883097174,0.9264507832638182,1.0,0.712495773890256,0.8757228059871398,0.8260869565217391,0.96,0.7191898110980905,0.8790058731017376,0.8174603174603174,0.9596012800629937,0.09471026656218416,0.19862461474968435,0.06025804322619214,0.1200093360944343,0.43184527263113276,1.0617227292123395,1.5870643658425325,45.07910429339564
