defense,js_db,n,completion_mean,ci_low,ci_high
no_def,0.0,600,0.99,0.9783564551842772,0.9954090778222962
no_def,5.0,600,0.9466666666666667,0.9256793173512055,0.9619708964098885
no_def,10.0,600,0.8316666666666667,0.7996389415628021,0.8594744634314432
no_def,15.0,600,0.51,0.47006417298781034,0.5498085929919156
no_def,20.0,600,0.2633333333333333,0.22967693724040683,0.3000009345727449
no_def,25.0,600,0.125,0.10089974887356176,0.15387152688671377
no_def,30.0,600,0.03833333333333333,0.025677277815960083,0.0568633594533569
no_def,35.0,600,0.013333333333333334,0.006771354149386741,0.026087368170615285
no_def,40.0,600,0.0,4.336808689942018e-19,0.00636170101370071
caf_cnn,0.0,600,0.9866666666666667,0.9739126318293848,0.9932286458506133
caf_cnn,5.0,600,0.955,0.9353193407452607,0.9688915113322716
caf_cnn,10.0,600,0.9166666666666666,0.8918125904008819,0.9362193254210341
caf_cnn,15.0,600,0.8466666666666667,0.8156384751338387,0.8732840788299955
caf_cnn,20.0,600,0.6916666666666667,0.6535934690094297,0.7273012122686516
caf_cnn,25.0,600,0.51,0.47006417298781034,0.5498085929919156
caf_cnn,30.0,600,0.3233333333333333,0.28713254163546603,0.3617819260560416
caf_cnn,35.0,600,0.17833333333333334,0.14977949878555574,0.2109798621999251
caf_cnn,40.0,600,0.06833333333333333,0.05076809443760846,0.09139084077088647
seq2seq_tr,0.0,600,1.0,0.9936382989862994,1.0
seq2seq_tr,5.0,600,0.97,0.9530792576730233,0.9809407433740981
seq2seq_tr,10.0,600,0.9483333333333334,0.9275970853316893,0.9633652560926926
seq2seq_tr,15.0,600,0.9133333333333333,0.8881100641938375,0.9332975963015033
seq2seq_tr,20.0,600,0.7633333333333333,0.727715735944399,0.7956004348550519
seq2seq_tr,25.0,600,0.635,0.5957325666291482,0.6725497740971527
seq2seq_tr,30.0,600,0.51,0.47006417298781034,0.5498085929919156
seq2seq_tr,35.0,600,0.275,0.24078852936137213,0.3120742360947933
seq2seq_tr,40.0,600,0.12,0.09638593328911171,0.14844895948130082
ours_m1m4m6m7,0.0,600,1.0,0.9936382989862994,1.0
ours_m1m4m6m7,5.0,600,1.0,0.9936382989862994,1.0
ours_m1m4m6m7,10.0,600,0.9983333333333333,0.9906204395238613,0.9997057317991506
ours_m1m4m6m7,15.0,600,0.9783333333333334,0.9632857238042716,0.9872949155592883
ours_m1m4m6m7,20.0,600,0.9383333333333334,0.9161569372167724,0.9549326382278833
ours_m1m4m6m7,25.0,600,0.9133333333333333,0.8881100641938375,0.9332975963015033
ours_m1m4m6m7,30.0,600,0.7933333333333333,0.7591172954308381,0.8238171733077908
ours_m1m4m6m7,35.0,600,0.71,0.6724472094026921,0.7448808761715535
ours_m1m4m6m7,40.0,600,0.53,0.4900004043695811,0.5696178935695968
