cohort,permutation,model,splitter,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_est,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_est,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_est,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_est,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_est,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_est,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_est,window_brier_ci_lo,window_brier_ci_hi,subject_brier_est,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_est,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_est,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi,window_calibration_intercept_est,window_calibration_intercept_ci_lo,window_calibration_intercept_ci_hi,subject_calibration_intercept_est,subject_calibration_intercept_ci_lo,subject_calibration_intercept_ci_hi,window_ece_est,window_ece_ci_lo,window_ece_ci_hi,subject_ece_est,subject_ece_ci_lo,subject_ece_ci_hi
depresjon,0,logreg,subject_wise,1034.0,0.0,0.4119922630560928,0.0,0.5019342359767892,0.014048200238234002,0.4950863808582489,0.01371161102076668,0.4938968131955262,0.013713445625588927,-0.009690210558227361,0.027067425952419524,0.5016749804381847,0.014570107416044885,0.4137188260303213,0.011171420622496396,0.27868905283300843,0.006244261569411399,0.0029829331444708902,0.034095002097589096,-0.3615911112999782,0.011332609561695883,0.14861565985459635,0.011133822508594933,55.0,0.0,0.41818181818181815,0.0,0.5757575757575757,0.020994555243259126,0.5600090579710145,0.01451220105979359,0.5598638005927008,0.014260607900380097,0.12192782994526051,0.03233212380110991,0.5258152173913043,0.023177611561456486,0.44955439236317796,0.03211587217879568,0.2566124506506342,0.006807817701812141,0.1371320239934852,0.2792692037566365,-0.28193395476132843,0.007413028115251306,0.12992501931966086,0.061401651895650375,55.0,0.0,0.5039014238942426,0.4134189881601672,0.5951908855885767,0.5230978260869565,0.42834665127414867,0.6545404968832323,0.5222437137330754,0.447873787434412,0.5919815622048386,0.5454545454545454,0.46909227914963203,0.647164622232973,0.5119733704292528,0.4414430032351534,0.588586011029879,0.5299145299145299,0.4528700922408769,0.6435396253511707,0.2747165469401918,0.249894834547878,0.3082394872855663,0.25486430192841325,0.23475993818232804,0.2732957542498925,-0.0008650703931747498,-0.36565106660474883,0.2957594267748729,0.12384068955152426,-0.7056265819763253,1.3623953614780213,-0.3552144881128562,-1.0272036357386563,0.2605905908971755,-0.27999512960038364,-0.7324608854668185,0.09653550645243941,0.13531510382538497,0.045043316075046094,0.2071497408958494,0.10215924235296082,0.04467391717271252,0.14320898694627326
depresjon,0,logreg,record_wise,1034.0,0.0,0.4119922630560928,0.0,0.622501611863314,0.00775706603192519,0.6120132711473519,0.006435266976648268,0.6116111488917514,0.0067855327137365685,0.22341966006564826,0.013472424659470534,0.6395149956758093,0.008734750984631714,0.5220764249338303,0.007602352056567664,0.23864814694120162,0.0023495597604231045,0.49318063990808386,0.04021755894030931,-0.3528671135566071,0.011392186517360011,0.08215514194406026,0.0027812406599529243,55.0,0.0,0.41818181818181815,0.0,0.7151515151515152,0.027773186030035403,0.7001811594202897,0.03405107445399238,0.7019292491367866,0.032676622300442444,0.40799304302848755,0.06241214881934861,0.7740036231884058,0.008840227036206127,0.6857996568716539,0.011629293898025039,0.21850562369749404,0.001736190505089959,3.0274271100341963,0.1999895203870681,-0.28868263307422937,0.011117137979339964,0.18810416968351554,0.035392851945518326,55.0,0.0,0.6437214294539164,0.556368976042175,0.726781029304956,0.78125,0.6877133832162754,0.8784875942065589,0.6353965183752418,0.5563787074836098,0.6906747128770909,0.7090909090909091,0.6363636363636364,0.8,0.6248961968847999,0.5641361792068464,0.6880695288784003,0.696969696969697,0.6256071593223246,0.8004396915060604,0.23738225032443486,0.2207350671135571,0.2666322837710159,0.21842713608349984,0.20506343807806945,0.23148474327246568,0.5296990446986217,0.044827003635740825,1.0993877259930176,3.063929477247202,1.7267624109360573,5.712481045961922,-0.3508743354734236,-0.945645479835895,0.22590586945190932,-0.28859245170608305,-0.7230164937990573,0.06238912766555344,0.088860492695981,0.04208116466022897,0.1679169365211404,0.18463034882817778,0.10521199707808422,0.2750139994992898
depresjon,0,xgboost,subject_wise,1034.0,0.0,0.4119922630560928,0.0,0.5267569310122502,0.023217546847235114,0.5029600115311753,0.022341703367845106,0.5018367729908243,0.02231901701876663,0.006211023195216168,0.045611890497862184,0.49920015340581503,0.03065824833068741,0.43315498294608973,0.023609596101019287,0.30063343061509223,0.015680306425750523,0.02493513077701213,0.08324498445551368,-0.06707264781855081,0.021954663437424637,0.22155584932048522,0.022983136637725235,55.0,0.0,0.41818181818181815,0.0,0.5393939393939394,0.045756572334974224,0.5043025362318841,0.045187270595094337,0.4946952198640409,0.04669222855405004,0.010028601516883673,0.09737445804044856,0.5126811594202899,0.06114633634687565,0.43854367947052536,0.038739642026054545,0.26319450207025863,0.017912625703880327,0.01866129002088192,0.30719320318392335,0.009749970326336364,0.01333617485980683,0.11988681116790482,0.07002711940648347,55.0,0.0,0.4977278694094391,0.40606527271762727,0.5976976245294631,0.5122282608695652,0.4065930647509062,0.6485352539313604,0.52321083172147,0.4453723490248702,0.6032887007120203,0.5636363636363636,0.46959948651339195,0.6470588235294118,0.4963000291491895,0.43081070855871323,0.5704654066150677,0.5175438596491228,0.42176870748299317,0.6174405587566281,0.291541633287653,0.25154931468052605,0.34121866181473204,0.25995924109819896,0.22965789642279785,0.2923126904516122,0.020560798859946924,-0.26345120332105526,0.32439349203819967,-0.04491146336344941,-0.6415002625013454,1.0484214162687795,-0.06415920937628773,-0.8942457182414764,0.6126178533127383,0.009515495248124275,-0.4780668116222933,0.42995781206950123,0.18931590941350912,0.11627467437055758,0.24463632737374905,0.09453123198314146,0.048696815189334525,0.11376772985326852
depresjon,0,xgboost,record_wise,1034.0,0.0,0.4119922630560928,0.0,0.6689232753062541,0.01625026842182922,0.6431718968783461,0.017461831546110577,0.6449400355573592,0.018281813123288384,0.30009288126671346,0.03573951835809267,0.7118686166707849,0.010299987806810709,0.634460371127239,0.010123051010787398,0.21194010120492446,0.0035027549320316097,0.714448748076042,0.03073035639647153,0.030396228752043748,0.020039517132347705,0.05639624209212276,0.004377844251678206,55.0,0.0,0.41818181818181815,0.0,0.7696969696969697,0.010497277621629563,0.7307518115942028,0.012551092808470181,0.7358301158301158,0.014221987325983825,0.5457343900531042,0.020556916722264517,0.884963768115942,0.017680454072412255,0.8600589751446783,0.01919141868639949,0.17207865015122784,0.0044198325892899236,4.119010826918337,0.38189621969039295,0.06172700534377385,0.021848913586414314,0.16266950432098273,0.013044464209261294,55.0,0.0,0.7205877810723993,0.6514014818115862,0.7865589496543098,0.8831521739130435,0.8103807991807901,0.939152074155413,0.6702127659574468,0.5948472123389485,0.7281428893633108,0.7818181818181819,0.7058823529411765,0.8612108534349164,0.6458886327915117,0.5819456637193767,0.7075686319486815,0.7522522522522522,0.668560606060606,0.8482031372247717,0.2072815523397225,0.17941451583023596,0.24214971741054855,0.1717166386574759,0.15025474164106634,0.19313869582276072,0.8081988793526852,0.5550774276510767,1.0425836634837726,4.250667743454579,3.016526238407795,5.721673433503388,0.02971593701204184,-0.6057628691531194,0.6094632214774562,0.061606948942151706,-0.36708114140941284,0.40246813182431646,0.05505493802794865,0.03690136245404257,0.07005522308056755,0.1685412520712072,0.10374771720973067,0.219304242078477
depresjon,1,logreg,subject_wise,1034.0,0.0,0.437137330754352,0.0,0.47292069632495165,0.008595932705334217,0.46787347058763906,0.0060960557486917,0.4673910218658672,0.006364340638068772,-0.06397260189690622,0.01197078289286176,0.4501407768958631,0.01610102808705472,0.40992486822140556,0.004285665024919836,0.28141887729965326,0.0046760208936598305,-0.11014808644907059,0.04365085017231598,-0.26435899094130466,0.02230376852846547,0.14281316122428625,0.02150079219050471,55.0,0.0,0.41818181818181815,0.0,0.4424242424242424,0.04198911048651825,0.4352355072463768,0.030940794626721467,0.43315864212415933,0.03168136082364959,-0.12843053155090275,0.060146841942890675,0.41213768115942034,0.016603535126651612,0.39381122600123225,0.025454980643066134,0.259418012938549,0.005595131884745992,-0.2828882989940546,0.5541868434632032,-0.3005908231338373,0.013442429804567798,0.12717576822848353,0.041818814027284344,55.0,0.0,0.4503029680990177,0.3876654112024134,0.5343350131209634,0.41304347826086957,0.28269152717126955,0.5232776474757108,0.4748549323017408,0.42184036907175354,0.5382668216165897,0.45454545454545453,0.34285714285714286,0.5428571428571428,0.47161242053651675,0.4243922538168759,0.545860886721873,0.45,0.3536772746721735,0.5427261731684244,0.2782270954966628,0.26138850728855006,0.2995911411702486,0.25822589006974506,0.24558627880683256,0.2711835088324819,-0.13122566285189766,-0.46074506657893605,0.20753409274158444,-0.3167664199543655,-3.1902745685587814,1.0495661311037716,-0.2607193785541815,-0.9140558020988295,0.3544119299407268,-0.2992271417421731,-0.6836716721291116,0.11961161991763881,0.13314624702421196,0.07548856132964495,0.1915552101095039,0.1094220249029533,0.0235137406479254,0.1704312970275726
depresjon,1,logreg,record_wise,1034.0,0.0,0.437137330754352,0.0,0.5831721470019343,0.0033501949856264658,0.5788249247331448,0.0042599400621030304,0.5782958661514562,0.004017594873206142,0.15702429854699634,0.00829543802208539,0.6126449583878194,0.003476686044862318,0.5498972294014394,0.004262260494958959,0.242430902978545,0.0009121505067969049,0.4637711315764927,0.07272287704481462,-0.25321593365300005,0.002606388170776854,0.07348196860270065,0.0006140173522608528,55.0,0.0,0.41818181818181815,0.0,0.6484848484848486,0.027773186030035403,0.6367753623188405,0.023867581744561665,0.6372516766133788,0.025035412653324977,0.2754089093651979,0.05070490170368459,0.6911231884057972,0.009639400658420706,0.6604650373303361,0.004451053030545543,0.22745327407314675,0.0005305181639910647,3.055203871037301,0.07050652664649533,-0.2862940415422601,0.003011897963956845,0.10418728099980024,0.01301065032107222,55.0,0.0,0.6159375665237357,0.5429043148987527,0.6997964804142617,0.6915760869565217,0.5906871472215252,0.8066794767541864,0.586073500967118,0.5335780828301318,0.6426531490006706,0.6363636363636364,0.5428571428571428,0.7330807237316351,0.5806116569626395,0.5298406626049377,0.6397263365081169,0.6263586956521738,0.5401650788881461,0.7332170880557978,0.24149427185045838,0.22470964151400494,0.26058966355976065,0.22740580809205957,0.21510565478397736,0.23975630193378691,0.5151372951405011,0.03405919648715984,1.128596610115021,3.1065460856117304,1.48298495774577,5.898210805693379,-0.2521609661329321,-0.8288660691382018,0.3250076759024711,-0.28623721567935534,-0.6544654390296231,0.11753453170907956,0.07337758934202178,0.02456766633552672,0.1230771959347477,0.09351571454851468,0.033815546349342425,0.14027968668678797
depresjon,1,xgboost,subject_wise,1034.0,0.0,0.437137330754352,0.0,0.4813023855577047,0.013551160255953383,0.46543553406522115,0.017269859799614023,0.4624665554287917,0.020144203920007913,-0.07120649403357572,0.03674972287592109,0.45228474186256323,0.01989201950165686,0.3990798602652959,0.014881091610542517,0.3125968010813832,0.007378477840815749,-0.1302491915616519,0.045544680549133014,-0.010204462683412827,0.03542113187011214,0.22691059297552363,0.020042213661527825,55.0,0.0,0.41818181818181815,0.0,0.4848484848484848,0.03784847271756603,0.4390851449275362,0.04106731124448364,0.4113820975647177,0.050905768327434514,-0.14479418029531552,0.10141283716487341,0.39945652173913043,0.04489867293983236,0.39853410769778885,0.031946553861788504,0.27350011862382106,0.0075720982393141,-0.16091832851687102,0.05741125274223787,-0.058886573398399165,0.02584385657815167,0.19319387945261868,0.03876004468544028,55.0,0.0,0.44731510202840374,0.37332940379344876,0.5294191077112871,0.37771739130434784,0.28331594378591457,0.5221410810490238,0.4825918762088975,0.4192522170842736,0.5515539296435213,0.4909090909090909,0.41484782903490264,0.6179835796867093,0.46098974283523353,0.40737405681993377,0.5375054011200381,0.38301282051282054,0.3137254901960784,0.4816652898764276,0.30345016154319854,0.2712971695334128,0.3275675628617393,0.2710051984922858,0.2432860387116198,0.29365234908869486,-0.17023102507695725,-0.4348380083602271,0.18027235783987694,-0.20851319293256082,-1.4424908854562764,0.5017962067482077,-0.009684773353871306,-0.7574286724363268,0.6551758944865075,-0.058246550125656896,-0.517499491521849,0.36233146761685436,0.20419529988835755,0.13713281013475356,0.2554745959129844,0.21648671864108607,0.12528074123822006,0.2933220985393792
depresjon,1,xgboost,record_wise,1034.0,0.0,0.437137330754352,0.0,0.6615087040618955,0.005802707930367523,0.6500598080061633,0.0056560162602105335,0.6510917608226992,0.005748231961117027,0.30521686658533326,0.011775125810603415,0.7116772597796227,0.0022334847434260638,0.6581999887055983,0.008061203331070872,0.21395946864960314,0.0008830319244216669,0.7672244501143627,0.0136003176447748,0.0496052522145028,0.008907767292003214,0.05177512724038999,0.0012103245629075307,55.0,0.0,0.41818181818181815,0.0,0.787878787878788,0.027773186030035403,0.7504528985507246,0.03405107445399238,0.7570592330499452,0.03727915717639211,0.5877278392625112,0.05287152258889774,0.8478260869565216,0.00718954160615379,0.8452087213645202,0.013522313641503365,0.17990841757578033,0.0022153996576939035,3.5735810739231333,0.29678686506942836,-0.005797770482369729,0.0068722651550437615,0.15738660067771423,0.030768579783214463,55.0,0.0,0.7220334215247999,0.6523912182086661,0.7895348176640395,0.8559782608695651,0.7751027636905625,0.944508289566668,0.6769825918762089,0.6301748519874267,0.7389068216922715,0.7636363636363637,0.6728863205653178,0.8321476815914091,0.666655084012849,0.6226102588001295,0.7292326392398409,0.7276190476190476,0.6267563959509962,0.8069369843615587,0.2094915183922959,0.18074072917896222,0.2325283924167193,0.17955981946530497,0.1575509223300749,0.20191698903244806,0.878196872146116,0.6138181469945609,1.1991088614083751,3.7617500525320073,2.474715658738077,6.89089311528895,0.048477165214582486,-0.5857219680247562,0.6279923524735656,-0.005802715612006009,-0.4499494234102355,0.34383727225467203,0.036745369634311846,0.027502033673912917,0.038769844029429734,0.1421765704046596,0.07070663397925639,0.18819295741527334
depresjon,2,logreg,subject_wise,1034.0,0.0,0.41295938104448743,0.0,0.5215989684074791,0.01730934075907003,0.5196118148018113,0.02077063867455016,0.5164448680367014,0.019105383990927316,0.03862958197871278,0.04090410231314649,0.523003805459851,0.022980059199097534,0.40321598433081074,0.013864485835518562,0.2712527216377992,0.007087480958929492,0.0031495430085866313,0.06125749162136921,-0.31036392599806506,0.004291914446411703,0.11887478049459398,0.015780606828235278,55.0,0.0,0.41818181818181815,0.0,0.47272727272727266,0.03636363636363635,0.4694293478260869,0.037530509013405246,0.4675589972953153,0.03685853460089932,-0.060383994073101445,0.07416342593207972,0.5280797101449276,0.040313059441075445,0.4482207735880213,0.014782513239598286,0.25163593237487625,0.0066149214080857685,0.3379855480280238,0.3668096887641348,-0.30422657716965,0.003368058701609212,0.16275229766247185,0.02828115747485213,55.0,0.0,0.5228231136352238,0.4285975070607222,0.6229693886022297,0.5230978260869565,0.40124937500523483,0.6345537577675118,0.5096711798839458,0.4249183807772739,0.59416654583277,0.509090909090909,0.3946085460885436,0.6,0.5043636848389961,0.42535873981420697,0.5922355836488079,0.5031783205085313,0.3911815675484734,0.5998641119018642,0.2686165212858218,0.23957409890067932,0.29819117499624553,0.2508919057022162,0.2330401939308287,0.2689677625008342,0.015757668028590466,-0.32444614478641964,0.3970808544257626,0.37679804626062274,-0.7265022053169354,1.4665957158213216,-0.3067408864335342,-0.9633450409017914,0.24922500012986745,-0.30325458297485736,-0.7485080566141816,0.05005825583450325,0.12535842166816666,0.0644964527393576,0.1758404693835276,0.15043864545988994,0.0658705361107891,0.23342029839982179
depresjon,2,logreg,record_wise,1034.0,0.0,0.41295938104448743,0.0,0.5905867182462927,0.0014772971292572106,0.6031403081663702,0.0010509480304011385,0.5901161101029775,0.0012543873101297182,0.20436374696320872,0.002337332104393049,0.6415569333575114,0.007411918127938015,0.5241550247895613,0.012327749149755445,0.2371630760957478,0.0014585821236277425,0.3988517836765471,0.05676320890338819,-0.35420669758990614,0.01042419419663721,0.08496224465459538,0.002227721694923702,55.0,0.0,0.41818181818181815,0.0,0.5939393939393939,0.027773186030035403,0.6062047101449275,0.027227641629974278,0.5936786848322764,0.027617206891506575,0.21092131289667884,0.053731041424299616,0.7069746376811593,0.009046641465325318,0.6784239409748842,0.027495013656179006,0.22349679162219852,0.001138062076242918,2.460662490351081,0.13150047944615392,-0.3506503651073087,0.011349896674564012,0.16405073758329183,0.03954147292747677,55.0,0.0,0.6441129831898731,0.5492901362944383,0.7239407304834037,0.7051630434782609,0.582433739077271,0.7902994489126114,0.5918762088974855,0.519096370607318,0.6828799482901089,0.6,0.4857142857142857,0.6857142857142857,0.5914849475532986,0.5210412891938478,0.6929430208739884,0.5998677248677249,0.5072515746078261,0.6942084942084943,0.23580243471001888,0.21193071830339402,0.25822021176765164,0.22343733244218902,0.2082047931927246,0.24004772015552728,0.46131873312919064,0.10380567003876989,0.977181977080286,2.477375621315191,1.2661858730566589,3.823616363802451,-0.35207278248562035,-0.9287920360334353,0.18757895238967146,-0.3505613012231417,-0.7458674665547042,-0.0025227077191274827,0.08470458553875074,0.03387142613721066,0.16779168654919221,0.14654652509325813,0.07156819035433101,0.21740698365125302
