cohort,model,n_participants,n_days,chance,top1_accuracy,top1_sd,top5_accuracy
depresjon,logreg,55,1034,0.01818181818181818,0.3304582336663383,0.020217710410220302,0.6450791864046402
depresjon,rf,55,1034,0.01818181818181818,0.38815721589043667,0.03055480511776667,0.7176133076935104
psykose,logreg,54,1021,0.018518518518518517,0.33366172485254264,0.029237027486162113,0.6513103778096606
psykose,rf,54,1021,0.018518518518518517,0.3966618842659015,0.04257446525393784,0.7208656145384983
hyperaktiv,logreg,80,490,0.0125,0.27142857142857146,0.04342947016760043,0.5605442176870749
hyperaktiv,rf,80,490,0.0125,0.264625850340136,0.030482393857063368,0.5721088435374149
